pathway,source_name,dest_name,distance_m,resource,demand,climate,feasibility,infrastructure,score,src_lon,src_lat,dst_lon,dst_lat
waste,"Waste site at 13.0900, 80.2516","Park at 13.1080, 80.2886",4472.9,0.9,1.0,0.8,0.553,1.0,0.8629,80.2516000002505,13.089999999879,80.288569,13.10796
waste,"Waste site at 13.0990, 80.2640","Park at 13.0633, 80.2835",4479.6,0.9,1.0,0.8,0.552,1.0,0.8628,80.2640000000016,13.099000000365399,80.283475,13.063277
waste,"Waste site at 13.0774, 80.2513","Park at 13.0877, 80.2716",2481.4,0.8,1.0,0.8,0.752,1.0,0.8628,80.251269000459,13.077440000268599,80.271628,13.087691999999999
waste,"Waste site at 13.0919, 80.1772","Park at 13.0876, 80.1763",488.7,0.7,1.0,0.8,0.951,1.0,0.8627,80.1772300003427,13.091910000064194,80.176292,13.087588
waste,"Waste site at 13.0919, 80.1772","Park at 13.0876, 80.1763",488.7,0.7,1.0,0.8,0.951,1.0,0.8627,80.1772300003427,13.091910000064194,80.176292,13.087588
waste,"Waste site at 13.0252, 80.2201","Park at 13.0422, 80.2049",2500.9,0.8,1.0,0.8,0.75,1.0,0.8625,80.2200999996032,13.0252000001373,80.204921,13.042224999999997
waste,"Waste site at 13.0900, 80.2516","Park at 13.0655, 80.2850",4521.3,0.9,1.0,0.8,0.548,1.0,0.8622,80.2516000002505,13.089999999879,80.285023,13.065549999999998
waste,"Waste site at 13.1264, 80.2619","Park at 13.1268, 80.2668",524.5,0.7,1.0,0.8,0.948,1.0,0.8621,80.2619400000163,13.1264000003824,80.266759,13.126832000000002
waste,"Waste site at 13.0639, 80.2141","Park at 13.0869, 80.2142",2535.7,0.8,1.0,0.8,0.746,1.0,0.862,80.2140799998612,13.063949999623603,80.214229,13.086877
waste,"Waste site at 13.0770, 80.2391","Park at 13.0919, 80.2212",2541.9,0.8,1.0,0.8,0.746,1.0,0.8619,80.2391000001903,13.077000000160199,80.221224,13.091872
waste,"Waste site at 13.0823, 80.2263","Park at 13.0693, 80.2070",2543.6,0.8,1.0,0.8,0.746,1.0,0.8618,80.2263299997364,13.082332999943098,80.207,13.069299999999998
waste,"Waste site at 13.0900, 80.2516","Park at 13.0633, 80.2835",4547.2,0.9,1.0,0.8,0.545,1.0,0.8618,80.2516000002505,13.089999999879,80.283475,13.063277
waste,"Waste site at 13.1138, 80.2289","Park at 13.0919, 80.2212",2568.5,0.8,1.0,0.8,0.743,1.0,0.8615,80.2289399995989,13.113830000368802,80.221224,13.091872
waste,"Waste site at 13.0963, 80.2231","Park at 13.1090, 80.2429",2569.3,0.8,1.0,0.8,0.743,1.0,0.8615,80.2230999995446,13.0962899999526,80.242912,13.109040999999998
waste,"Waste site at 13.0721, 80.2305","Park at 13.0693, 80.2070",2572.4,0.8,1.0,0.8,0.743,1.0,0.8614,80.2305499996437,13.072130000215402,80.207,13.069299999999998
waste,"Waste site at 13.1084, 80.2606","Park at 13.0877, 80.2716",2589.9,0.8,1.0,0.8,0.741,1.0,0.8612,80.2605699996055,13.108449999703998,80.271628,13.087691999999999
waste,"Waste site at 13.1090, 80.2823","Park at 13.1268, 80.2668",2593.7,0.8,1.0,0.8,0.741,1.0,0.8611,80.2823000001627,13.109000000158597,80.266759,13.126832000000002
